PREF_NAME_CODE,PREF_DESC_E,PREF_DESC_F
91DMT,ENZYMATIC METHOD ALCOHOL DEHYDROGENASE ULTRAVIOLET,METHODE D'ANALYSE ENZYMATIQUE A ULTRAVIOLETS ALCOOL DESHYDROGENASE
91DOF,LEAD ATOMIC ABSORPTION,PLOMB ABSORPTION ATOMIQUE
91DPB,RADIOIMMUNOASSAY DIGOXIN (125-I) RABBIT ANTIBODY CHARCOALSEP.,DOSAGE RADIO-IMMUNOLOGIQUE DIGOXINE (125-I) ANTICORPS DE LAPIN SEPARATION DU CHARBON
91JIH,FLAME PHOTOMETRY LITHIUM,PHOTOMETRIE DE FLAMME LITHIUM
91LFM,ENZYME IMMUNOASSAY DIGITOXIN,DOSAGE IMMUNOENZYMATIQUE DIGITOXINE
91LFN,NEPHELOMETRIC INHIBITION IMMUNOASSAY PHENOBARITAL,DOSAGE IMMUNOLOGIQUE PAR INHIBITION NEPHELOMETRIQUE PHENOBARBITAL
73ACS,BLADE LARYNGOSCOPE,LAME DE LARYNGOSCOPE
73APM,UNIT OXYGEN THERAPY PORTABLE,APPAREIL PORTATIF D'OXYGENOTHERAPIE
73BTK,STRAP HEAD GAS MASK,SERRE-TETE POUR MASQUE D'INHALATION FACIAL
73BYS,MEMBRANELUNG (FOR LONG-TERM RESPIRATORY SUPPORT),OXYGENATEUR A MEMBRANE (POUR ASSISTANCE VENTILATOIRE PROLONGEE)
73BZD,VENTILATOR NON-CONTINUOUS (RESPIRATOR),VENTILATEUR (RESPIRATEUR) INTERMITTENT
73BZO,SETTUBING AND SUPPORTVENTILATOR (W HARNESS),ENSEMBLE DE TUBES ET SUPPORT POUR VENTILATEUR (AVEC SERRE-TETE)
73CAH,FILTER BACTERIAL BREATHING CIRCUIT,FILTRE BACTERIEN POUR CIRCUIT RESPIRATOIRE
73CAL,LARYNGOSCOPE NON-RIGID,LARYNGOSCOPE NON RIGIDE
73CAM,YOKE ASSEMBLY MEDICAL GAS,RACCORD DE TYPE ETRIER POUR GAZ MEDICAUX
73CAP,MONITOR AIRWAY PRESSURE (INCLUDES GAUGE AND/OR ALARM),MONITEUR DE PRESSION DES VOIES AERIENNES (AVEC MANOMETRE ET/OU ALARME)
73CBI,TUBE TRACHEAL/BRONCHIAL DIFFERENTIAL VENTILATION(W/WO CONNECTOR),TUBE ENDOTRACHEAL/BRONCHIQUE POUR VENTILATION DIFFERENTIELLE (AVEC/SANS RACCORD)
73FOG,HOOD OXYGEN INFANT,ENCEINTE DE HOOD
73FQC,RESPIRATOR NEONATAL VENTILATOR,VENTILATEUR (RESPIRATEUR) NEONATAL
73JFE,VALVE SWITCHING (PLOSS),COMMUTATEUR DE PLOSS
73LYM,DEVICE CPR ASSIST,DISPOSITIF D'ASSISTANCE A LA RCR
73MNS,VENTILATOR CONTINUOUS NON-LIFE-SUPPORTING,VENTILATEUR CONTINU NON NECESSAIRE POUR MAINTENIR LES FONCTIONS VITALES
73QAT,ADAPTER ANESTHESIA,ADAPTATEUR POUR CIRCUIT D'ANESTHESIE
73QFN,CALIBRATOR ANESTHESIA UNIT,ETALONNEUR POUR UNITE D'ANESTHESIE
73RJH,KIT ADMINISTRATION OXYGEN,TROUSSE D'ADMINISTRATION D'OXYGENE
73SBG,KIT TRACHEOSTOMY CARE,TROUSSE DE TRACHEOSTOMIE
73SEX,VENTILATOR OTHER,VENTILATEUR AUTRE
73UFG,STIMULATOR PERIPHERAL NERVE BLOCKADE MONITOR,MONITEUR DE BLOCAGE POUR STIMULATEUR DE NERFS PERIPHERIQUES
74AAF,SUCTION ABLATION CATHETER SYSTEM (SAC),CATHETER D'ABLATION PAR ASPIRATION
74AAG,PADDLE PAD ELECTRODE DEFIBRILLATOR (EXTERNAL),PALETTES ET ELECTRODES (EXTERNES) POUR DEFIBRILLATEUR
74AAO,KIT INTRODUCER PACEMAKER LEAD,TROUSSE D'INTRODUCTION DE SONDE DE STIMULATEUR CARDIAQUE
74AQJ,EMULSION OXYGEN CARRYING INTRAVASCULAR,EMULSION INTRAVASCULAIRE OXYPHORIQUE
74ATS,CABLE AND ADAPTER DEFIBRILLATOR,FIL ET ADAPTATEUR POUR DEFIBRILLATEUR
74AVN,SYSTEM ABLATION RADIOFREQUENCY,APPAREIL D'ABLATION PAR RADIOFREQUENCE
74DQO,CATHETER INTRAVASCULAR DIAGNOSTIC,CATHETER INTRAVASCULAIRE DIAGNOSTIQUE
74DQX,WIRE GUIDE CATHETER,FIL-GUIDE POUR CATHETER
74DRB,STYLET CATHETER/LEAD,STYLET POUR CATHETER OU SONDE
74DRI,MONITOR LINE ISOLATION,MONITEUR D'ISOLEMENT DU SECTEUR
74DRK,DC-DEFIBRILLATOR HIGH ENERGY (INCLUDING PADDLES),DEFIBRILLATEUR A FORT COURANT CONTINU (Y COMPRIS LES ELECTRODES; CIRCUIT OUVERT)
74DSX,PLEDGET DACRON TEFLON POLYPROPYLENE,TAMPON EN DACRON EN TEFLON OU EN POLYPROPYLENE
74DTC,ANALYZER PACEMAKER GENERATOR FUNCTION,ANALYSEUR DE LA FONCTION DE GENERATION D'IMPULSIONS DE STIMULATEUR CARDIAQUE
74DTD,ADAPTOR LEAD PACEMAKER,ADAPTATEUR POUR SONDE DE STIMULATEUR CARDIAQUE
74DTY,SENSOR BLOOD GAS IN-LINE CARDIOPULMONARY BYPASS,DETECTEUR DIRECT DE GAZ SANGUINS POUR DERIVATION CARDIOPULMONAIRE
74DWB,PUMPBLOODCARDIOPULMONARY BYPASSROLLER TYPEU,POMPE A SANG DE TYPE PERISTALTIQUE POUR DERIVATION CARDIOPULMONAIRE
74DWF,CATHETER CANNULA AND TUBING VASCULAR CARDIOPULMONARYBYPASS,CATHETER CANULE OU TUBE VASCULAIRE POUR DERIVATION CARDIOPULMONAIRE
74DXJ,DISPLAY CATHODE-RAY TUBE MEDICAL,ECRAN CATHODIQUE POUR USAGE MEDICAL
74DXK,ECHOCARDIOGRAPH (ULTRASONIC SCANNER),ECHOCARDIOGRAPHE (DISPOSITIF DE BALAYAGE A ULTRASONS)
74DXO,TRANSDUCER PRESSURE CATHETER TIP,TRANSDUCTEUR DE LA PRESSION A L'EXTREMITE DU CATHETER
74DXP,TRANSDUCER VESSEL OCCLUSION,TRANSDUCTEUR DE DETECTION DES OCCLUSIONS DES VAISSEAUX
74FLY,MANOMETER BLOOD PRESSURE ANEROID,TENSIOMETRE ANEROIDE
74FXC,STETHOSCOPE ELECTRONIC-AMPLIFIED,STETHOSCOPE ELECTRONIQUE AVEC AMPLIFICATEUR
74GBR,CATHETER CARDIOVASCULAR BALLOON TYPE,CATHETER CARDIOVASCULAIRE A BALLONNET
74JAJ,WIRE GUIDE CATHETER RADIOLOGICAL (SEE 74DQX),FIL-GUIDE POUR CATHETER RADIOLOGIQUE (VOIR 74DQX)
74KFN,MONITOR CARDIAC OUTPUT THERMAL (BALLOON TYPE CATHETER),MONITEUR THERMIQUE POUR LA MESURE DU DEBIT CARDIAQUE (CATHETER A BALLONNET)
74KRL,DETECTOR BUBBLE CARDIOPULMONARY BYPASS,DETECTEUR DE BULLES POUR DERIVATION CARDIOPULMONAIRE
74LIX,AIDCARDIOPULMONARY RESUSCITATION,AIDE A LA REANIMATION CARDIOPULMONAIRE
74LOX,CATHETER TRANSLUMINAL CORONARY ANGIOPLASTYPERCUTANEOUS& OPERATIVE,CATHETER POUR ANGIOPLASTIE CORONARIENNE TRANSLUMINALE PERCUTANEE
74LOZ,HEARTARTIFICAL,COEUR ARTIFICIEL
74LPB,ELECTRODEPERCUTANEOUS CONDUCTION TISSUE ABLATION,ELECTRODE POUR ABLATION PERCUTANEE DE TISSUS PAR CONDUCTION
74LPC,DEVICE LASER ANGIOPLASTY CORONARY,DISPOSITIF POUR ANGIOPLASTIE CORONARIENNE AU LASER
74LWO,PULSE-GENERATORSINGLE CHAMBERSENSOR DRIVENIMPLANTABLE,GENERATEUR D'IMPULSIONS MONOCHAMBRE AVEC CAPTEURS IMPLANTABLE
74LYK,ANGIOSCOPE,ANGIOSCOPE
74MAK,GRAFT VASCULAR BIOLOGICAL,GREFFON VASCULAIRE BIOLOGIQUE
74MFC,CATHETER OCCLUDING CARDIOVASCULAR IMPLANTABLE,CATHETER D'OCCLUSION CARDIOVASCULAIRE IMPLANTABLE
74MIE,HEART-VALVE ALLOGRAFT,ALLOGREFFON VALVULAIRE
74MSU,OCCLUDER VASCULAR,OBTURATEUR VASCULAIRE
74MSX,SYSTEM NETWORK & COMMUNICATION PHYSICAL MONITORS,SYSTEME DE RESEAUTAGE ET DE COMMUNICATION POUR MONITEURS PHYSIOLOGIQUES
74MXL,DEVICE CARDIOPULMONARY RESUSCITATION,DISPOSITIF DE REANIMATION CARDIOPULMONAIRE
74QIX,KIT BLOOD PRESSURE CENTRAL VENOUS,TROUSSE POUR PRESSION VEINEUSE CENTRALE
74QOP,DEFIBRILLATOR/MONITOR LINE POWERED,DEFIBRILLATEUR/MONITEUR ELECTRIQUE
74RFK,LOOP VASCULAR,ATTACHE VASCULAIRE
74ROL,RECORDER PORTABLE ECG,ELECTROCARDIOGRAPHE PORTABLE
74TBI,CLAMP VASCULAR (SEE 74DXC),CLAMP VASCULAIRE (VOIR 74DXC)
74UMG,HEMOCONCENTRATOR,HEMOCONCENTRATEUR
74VHM,PACEMAKER HEART IMPLANTABLE NON-PROGRAMMABLE,STIMULATEUR CARDIAQUE IMPLANTABLE NON PROGRAMMABLE
74WLP,ELECTRODE ECG RADIOLUCENT,ELECTRODE POUR ECG PERMEABLE AUX RAYONS X
75AEF,PROTEIN DETERMINATION SERUM OR PLASMA,DOSAGE DES PROTEINES DANS LE SERUM OU DANS LE PLASMA
75AEJ,PROSTATIC ACID PHOSPHATASE,PHOSPHATASE ACIDE PROSTATIQUE
75AFN,REAGENT T3/T4 PROCEDURES,REACTIF POUR DOSAGE DE T3/T4
75AGZ,T3ASSAY,T3 DOSAGE
75AHN,BOWEL TRANSIT TIME TEST HOME USE,TEMPS DE TRANSIT INTESTINAL NECESSAIRE D'ANALYSE A DOMICILE
75AHR,ESTRADIOL ASSAY,OESTRADIOL DOSAGE
75AJS,CK-MB/LD ASSAY,CK-MB/LD DOSAGE
75AJZ,CONTROLS IMMUNOASSAY,SERUM DE CONTROLE POUR DOSAGE IMMUNOLOGIQUE
75AKO,PROLACTIN ASSAY,PROLACTINE DOSAGE
75ANR,FREE THYROXINEASSAY,THYROXINE LIBRE DOSAGE
75AOI,CONTROL SERUM NORMAL/ABNORMAL,SERUM DE CONTROLE (NORMAL/ANORMAL)
75ASE,CARCINOEMBRYONIC ANTIGEN CEA ASSAY,ANTIGENE CARCINOEMBRYONNAIRE DOSAGE
75CEE,THYROXINE BINDING GLOBULIN BY RADIOIMMUNOASSAY,GLOBULINE LIANT LA THYROXINE PAR DOSAGE RADIOIMMUNOLOGIQUE
75CEF,PROTEIN FRACTIONATION ELECTROPHORETIC,FRACTIONNEMENT DE PROTEINES PAR ELECTROPHORESE
75CEK,TOTAL PROTEIN BY BIURET (COLORIMETRIC),PROTEINES TOTALES PAR BIURET (COLORIMETRIE)
75CFL,HUMAN GROWTH HORMONE BY RADIOIMMUNOASSAY,HORMONE DE CROISSANCE HUMAINE PAR DOSAGE RADIOIMMUNOLOGIQUE
75CGY,CREATINE PHOSPHOKINASE BY FLOUROMETRIC METHOD,CREATINE PHOSPHOKINASE PAR FLUOROMETRIE
75CHL,BLOOD GASES (PCO2 PO2) AND BLOOD PH BY ELECTRODEMEASUREMENT,GAZ SANGUINS (PCO2 PO2) ET PH SANGUIN PAR ELECTRODES
75CJK,ALKALINE PHOSPHATASE OR BY PHENOLPHTHALEIN PHOSPHATE,PHOSPHATASE ALCALINE PAR PHOSPHATE DE PHENOLPHTALEINE
75CJO,ALKALINE PHOSPHATASE OR ISOENZYMES BY ALPHA-NAPHTHYLPHOSPHATE,PHOSPHATASE ALCALINE OU ISOENZYMES PAR ALPHA-NAPHTHYLPHOSPHATE
75JFJ,AMYLASE CATALYTIC METHOD(PANCREATIC),AMYLASE PAR LA METHODE CATALYTIQUE (PANCREAS)
75JFK,AST/SGOT CATALYYTIC METHOD,AST/SGOT PAR LA METHODE CATALYTIQUE
75JFM,BILIRUBIN BY ENZYMATIC METHOD,BILIRUBINE PAR LA METHODE ENZYMATIQUE
75JGW,TRIGLYCERIDES FLUOROMETRIC METHOD,TRIGLYCERIDES PAR FLUOROMETRIE
75JID,AMMONIA PHOTOMETRIC METHOD,AMMONIAC PAR PHOTOMETRIE
75JIF,AMMONIA ENZYMATIC METHOD,AMMONIAC PAR LA METHODE ENZYMATIQUE
75JIS,CALIBRATORPRIMARY,ETALON PRIMAIRE
75JJI,ANALYZERENZYMEFOR CLINICAL USE,ANALYSEUR ENZYMATIQUE POUR USAGE CLINIQUE
75JJO,FLAME EMISSION PHOTOMETER FOR CLINICAL USE,PHOTOMETRE A EMISSION DE FLAMME POUR USAGE CLINIQUE
75JJS,CONTROLS FOR BLOOD GASES (ASSAYED AND UNASSAYED),CONTROLES (DOSES ET NON DOSES) POUR GAZ SANGUINS
75JLS,PROGESTERONE ENZYME IMMUNOASSAY,PROGESTERONE PAR DOSAGE IMMUNOENZYMATIQUE
75JQE,IRON BY RESIN ION EXCHANGE ASCORBIC ACID COLORIMETRY,FER PAR RESINE ECHANGEUSE D'IONS ACIDE ASCORBIQUE (COLORIMETRIE)
75JQW,STATIONPIPETTING AND DILUTINGFOR CLINICAL USE,STATION DE PIPETAGE ET DE DILUTION POUR USAGE CLINIQUE
75JRC,PIPET MICRO,MICROPIPETTE
75LIG,INTRINSIC FACTOR BLOCKING ANTIBODY BY RADIOASSAY,ANTICORPS BLOQUANT LE FACTEUR INTRINSEQUE PAR DOSAGE RADIOLOGIQUE
75MSJ,APOLIPOPROTEINS,APOLIPOPROTEINES
75NAO,TEST. CARBOHYDRATE DEFICIENT TRANSFERRIN,TEST DE DEPISTAGE DE LA TRANSFERRINE CARBOXY-DEFICIENTE
75QKW,ANALYZER CHEMISTRY MULTI-CHANNEL FIXED,ANALYSEUR BIOCHIMIQUE MULTICANAL FIXE
75RNT,RACK TEST TUBE,SUPPORT A EPROUVETTES
75SFP,WASHER LABWARE,LAVE-VERRERIE
75TEP,SHOWER EMERGENCY,DOUCHE D'URGENCE
75UFU,PLATE COOLING,PLAQUE DE REFROIDISSEMENT
75UKC,STANDARD/CONTROL ALL TYPES,ETALONS ET CONTROLES EN TOUS GENRES
75VFU,PHOTOMETER REFLECTANCE,PHOTOMETRE A REFLECTANCE
76AAX,LINER CAVITY OTHER,FOND ISOLANT AUTRE
76AQV,POWDER/LIQUID/STAIN PORCELAIN,POUDRE/LIQUIDE/COLORANT POUR PORCELAINE
76DYT,MAINTAINER SPACE PREFORMED ORTHODONTIC,MAINTENEUR D'ESPACE ORTHODONTIQUE PREFORME
76DZC,WIRE ORTHODONTIC,ARC DENTAIRE
76DZN,MATRIX DENTAL,MATRICE DENTAIRE
76EAT,TESTER PULP,VITALOMETRE
76EBA,LIGHTSURGICAL HEADLIGHTDENTAL,LAMPE FRONTALE CHIRURGICALE DENTAIRE
76EBG,CROWN AND BRIDGE TEMPORARY RESIN,RESINE POUR COURONNE OU PONT PROVISOIRE
76EHZ,EVACUATOR ORAL CAVITY,DISPOSITIF D'ASPIRATION BUCCALE
76EIY,INSTRUMENT FILLING PLASTIC DENTAL,INSTRUMENT DENTAIRE POUR OBTURATION PLASTIQUE
76EKW,BROACH ENDODONTIC,BROCHE ENDODONTIQUE
76ELK,TEETH ARTIFICIAL BACKING AND FACING,PLAQUE DE SOUTENEMENT ET FACETTE  POUR DENTS ARTIFICIELLES
76ELQ,PROTECTOR (GUARD) MOUTH NON-CUSTOM,PROTEGE-DENTS NON SUR MESURE
76ELR,POST ROOT CANAL,TENON RADICULAIRE
76LFC,DEVICE CARRIES DETECTION,DISPOSITIF DE DETECTION DES CARIES
76LMW,SOLUTIONCARIES REMOVAL,SOLUTION POUR L'ELIMINATION DES CARIES
76LZD,JOINTTEMPOROMANDIBULARIMPLANT,IMPLANT POUR ARTICULATION TEMPOROMANDIBULAIRE
76MMD,TOOTHBRUSH IONIC BATTERY-POWERED,BROSSE A DENTS IONIQUE A PILE
76MPJ,INTERARTICULAR DISC PROSTHESIS (INTERPOSITIONAL IMPLANT),PROTHESE DISCALE INTERARTICULAIRE (IMPLANT INTERPOSITIONNEL)
76MXF,SYSTEM DENTAL HYDROKINETIC CARRIESREMOVAL & CAVITYPREPARATION,SYSTEME DENTAIRE HYDROKINETIQUE POUR ELIMINATION DES CARIES ET PREPARATION DES CAVITES
76NBL,LASER FLUORESCENCE CARIES DETECTION,APPAREIL AU LASER POUR LA DETECTION DES CARIES PAR FLUORESCENCE
76QPA,DENTIFRICE (TEETH CLEANER/POLISHER),DENTIFRICE (AGENT DE NETTOYAGE/POLISSAGE DES DENTS)
76QRK,DRILL ORAL SURGERY,FORET POUR CHIRURGIE BUCCALE
76RNK,PUNCH RUBBER DAM DENTAL,PERFORATEUR DENTAIRE
76TBW,DRESSING PERIODONTAL,PANSEMENT PARODONTAL
76UDQ,ADHESIVE DENTAL,RESINE DE SCELLEMENT
76VDX,VENEER DENTAL,FACETTE PROTHETIQUE
77AQX,DELIVERYMEDICINAL CHAMBER/NEBULIZER,NEBULISEUR/CHAMBRE POUR L'ADMINISTRATION DE MEDICAMENTS
77EQH,SOURCECARRIERFIBREOPTIC LIGHT,SOURCE LUMINEUSE ET CABLE POUR FIBRE OPTIQUE
77ERL,DRILLSURGICALENT (ELECTRIC OR PNEUMATIC) INCLUDINGHANDPIECE,FORET CHIRURGICAL (ELECTRIQUE OU PNEUMATIQUE) ORL AVEC PIECE A MAIN
77ESD,HEARING-AID AIR-CONDUCTION,PROTHESE AUDITIVE A CONDUCTION AERIENNE
77ETA,REPLACEMENT OSSICULAR PROSTHESIS TOTAL,PROTHESE COMPLETE DE REMPLACEMENT POUR OSSELETS
77EWM,SYSTEM HEARING-AID ANALYSIS,SYSTEME POUR L'ANALYSE DES PROTHESES AUDITIVES
77JXT,CRIMPER WIRE ENT,PINCE A SERRER LES FILS ORL
77KAS,KNIFE NASAL,COUTEAU NASAL
77KCP,SYRINGE ENT,SERINGUE ORL
77LXB,HEARING-AID BONE-CONDUCTION,APPAREIL AUDITIF A CONDUCTION OSSEUSE
77LXV,VESTIBULAR ANALYSIS APPARATUS,APPAREIL D'ANALYSE DE LA FONCTION VESTIBULAIRE
77MQW,TRANSILLUMINATOR FIBER OPTIC,TRANSILLUMINATEUR A FIBRES OPTIQUES
77QBT,ASPIRATOR NASAL,ASPIRATEUR NASAL
77QEN,BRONCHOSCOPE FLEXIBLE,BRONCHOSCOPE SOUPLE
77QRJ,DRILL MIDDLE EAR SURGERY,FORET POUR CHIRURGIE DE L'OREILLE MOYENNE
78ADV,BAND GASTRIC IMPLANTED,ANNEAU GASTRIQUE IMPLANTE
78AQZ,TUBE DRAINAGE,DRAIN
78EXB,COLLECTOR OSTOMY,COLLECTEUR POUR STOMIE
78EXN,SUPPORT HERNIA,DISPOSITIF DE SUPPORT POUR HERNIE
78EYK,CONNECTOR URETERAL CATHETER,CONNECTEUR DE SONDE URETERALE
78EZY,DEVICE INCONTINENCE MECHANICAL/HYDRAULIC,DISPOSITIF MECANIQUE/HYDRAULIQUE POUR INCONTINENCE
78FAF,PROSTHESIS TESTICULAR,PROTHESE TESTICULAIRE
78FCQ,LIGHT SOURCE INCONDESCENT DIAGNOSTIC,SOURCE DE LUMIERE INCANDESCENTE POUR DIAGNOSTIC
78FDA,ENTEROSCOPE,ENTEROSCOPE
78FFE,SYSTEM WATER JET CATHETER RENAL,DISPOSITIF POUR SONDE RENALE A JET D'EAU
78FFL,DISLODGER STONE BASKET URETERAL METAL,PANIER A CALCULS URETERAL EN METAL
78FFX,SYSTEM GASTROINTESTINAL MOTILITY (ELECTRICAL),SYSTEME (ELECTRIQUE) DE MOTILITE GASTROINTESTINALE
78FFZ,CORD ELECTRIC FOR ENDOSCOPE,CORDON DE BRANCHEMENT POUR ENDOSCOPE
78FHP,NEEDLE PNEUMOPERITONEUM SIMPLE,AIGUILLE A PNEUMOPERITOINE SIMPLE
78FIE,NEEDLE FISTULA,AIGUILLE A FISTULE
78FIP,SUBSYSTEM WATER PURIFICATION,SOUS-SYSTEME DE PURIFICATION D'EAU
78FJG,DIALYZER PARALLEL FLOW,DIALYSEUR EN PLAQUES
78FJQ,CONNECTOR SHUNT,CONNECTEUR POUR DERIVATION
78FKG,TRAY START/STOP (INCLUDING CONTENTS) DIALYSIS,PLATEAU POUR DEMARRAGE/ARRET (Y COMPRIS SON CONTENU) POUR DIALYSE
78FKL,INSERT BLOOD PUMP,DISPOSITIF D'INSERTION POUR POMPE A SANG
78FKO,CATHETER PERITONEAL DIALYSIS SINGLE USE,CATHETER POUR DIALYSE PERITONEALE A USAGE UNIQUE
78FKQ,SYSTEM DIALYSATE DELIVERY CENTRAL MULTIPLE PATIENT,SYSTEME CENTRALISE DE DISTRIBUTION DU DIALYSAT POUR PLUSIEURS PATIENTS
78GBM,CATHETER URETHRAL,SONDE URETRALE
78GCF,PROCTOSCOPE,PROCTOSCOPE
78GCJ,LAPAROSCOPE GENERAL & PLASTIC SURGERY,LAPAROSCOPE POUR CHIRURGIE GENERALE ET PLASTIQUE
78KOD,CATHETER UROLOGICAL,CATHETER UROLOGIQUE
78KXM,EXTRACORPOREAL SYSTEM ACCESSORIES,ACCESSOIRES POUR CIRCUIT EXTRACORPOREL
78LJE,CATHETER NEPHROSTOMY,CATHETER DE NEPHROSTOMIE
78LKY,DEVICE EXTERNAL PENILE RIGIDITY,PROTHESE PENIENNE EXTERNE
78LYW,EXTERNAL DEVICE FOR WEIGHT MANAGEMENT,DISPOSITIF EXTERNE POUR LA GESTION DU POIDS
78MIP,DEVICE FECAL INCONTINENCE IMPLANTED,DISPOSITIF POUR INCONTINENCE FECALE IMPLANTE
78NBP,EXPANDER TISSUE URETERAL,EXPANSEUR TISSULAIRE URETERAL
78QHX,CATHETER HEMOSTATIC,CATHETER HEMOSTATIQUE
78RIZ,ORGAN PRESERVATION SYSTEM,SYSTEME DE CONSERVATION D'ORGANES
78SCX,TUBE ESOPHAGEAL SENGSTAKEN,SONDE OESOPHAGIENNE DE SENGSTAKEN
78SEF,SYSTEM MEASUREMENT URODYNAMIC,SYSTEME DE MESURE DE LA DYNAMIQUE URINAIRE
78WLL,INCONTINENCE DEVICE FECAL,DISPOSITIF POUR INCONTINENCE FECALE
79ACO,SUPPORT INTERNAL ORGAN SURGICAL,SUPPORT CHIRURGICAL POUR ORGANES INTERNES
79ACU,RETRACTOR BLADES,LAMES D'ECARTEUR
79ADL,ENUCLEATOR GENERAL/PLASTIC SURGERY,ENUCLEATEUR CHIRURGIE GENERALE/PLASTIQUE
79ADR,TATTOOING INSTRUMENT PLASTIC SURGERY,INSTRUMENT DE TATOUAGE CHIRURGIE PLASTIQUE
79ARI,KIT INSTRUMENTS AND ACCESSORIES SURGICAL,TROUSSE D'INSTRUMENTS ET ACCESSOIRES CHIRURGICAUX
79ASJ,ELECTRODE ELECTROSURGICAL RETURN (GROUND DISPERSIVE),ELECTRODE DE RETOUR (DE MASSE/DE DISPERSION) ELECTROCHIRURGICALE
79EFQ,SPONGE GAUZE,COMPRESSE DE GAZE
79FGY,CANNULA INJECTION,CANULE D'INJECTION
79FRO,DRESSING DRUG,PANSEMENT MEDICAMENTEUX
79FSE,TABLE OPERATING ROOM MANUAL (SEE 79FWX),TABLE DE SALLE D'OPERATION MANUELLE (VOIR 79FWX)
79FSW,LIGHT SURGICAL ENDOSCOPE,LAMPE CHIRURGICALE ENDOSCOPE
79FTR,PROSTHESIS BREAST NONINFLATABLE INTERNAL SILICONE GEL-FILLED,PROTHESE MAMMAIRE NON GONFLABLE INTERNE REMPLIE DE GEL DE SILICONE
79FWP,PROSTHESIS CHIN INTERNAL,PROTHESE DE MENTON INTERNE
79FWY,TABLE OPERATING ROOM NON-ELECTRICAL,TABLE DE SALLE D'OPERATION NON ELECTRIQUE
79FYA,GOWN SURGICAL,SARRAU POUR MILIEU STERILE
79GAG,STAPLER SURGICAL,AGRAFEUSE CHIRURGICALE
79GAN,SUTURE ABSORBABLE SYNTHETIC,SUTURE RESORBABLE SYNTHETIQUE
79GAW,SUTURE NONABSORBABLE SYNTHETIC POLYPROPYLENE,SUTURE SYNTHETIQUE NON RESORBABLE EN POLYPROPYLENE
79GCE,ADAPTOR CATHETER,ADAPTATEUR POUR CATHETER
79GDC,TABLE OPERATING ROOM ELECTRICAL,TABLE DE SALLE D'OPERATION ELECTRIQUE
79GDG,HOOK SURGICAL GENERAL & PLASTIC SURGERY,CROCHET CHIRURGICAL POUR CHIRURGIE GENERALE ET PLASTIQUE
79GDI,DISSECTOR SURGICAL GENERAL & PLASTIC SURGERY,DISSECTEUR CHIRURGICAL POUR CHIRURGIE GENERALE ET PLASTIQUE
79GDW,STAPLE IMPLANTABLE,AGRAFE IMPLANTABLE
79GEH,CRYOSURGICAL UNIT & ACCESSORIES,UNITE CRYOCHIRURGICALE ET ACCESSOIRES
79GFD,DERMATOME,DERMATOME
79HBT,APPLIER HEMOSTATISC CLIP (SEE 79GDO),PINCE AGRAFEUSE HEMOSTATIQUE (VOIR 79GDO)
79JDK,PROSTHESIS HIP CEMENT RESTRICTOR,PROTHESE DE HANCHE OBTURATEUR A CIMENT
79KCW,EPILATOR HIGH FREQUENCY NEEDLE-TYPE,EPILATEUR A HAUTE FREQUENCE DE TYPE A AIGUILLE
79KQM,SURGICAL CAMERAS AND ACCESSORIES,CAMERAS CHIRURGICALES ET ACCESSOIRES
79LZK,MALAR IMPLANT,IMPLANT MALAIRE
79MGO,ADHESIVE WOUND CLOSURE,ADHESIF POUR FERMETURE DE PLAIE
79MUL,GENERATOR ELECTROSURGICAL COAGULATION CANCER,GENERATEUR ELECTROCHIRURGICAL DE COAGULATION CANCER
79QPC,UNIT DERMABRASION,UNITE DE DERMABRASION
79QYE,GAUZE ROLL,GAZE EN ROULEAU
79RNN,PUNCH HAIR TRANSPLANT,POINCON POUR GREFFE DE CHEVEUX
79RQE,RONGEUR OTHER,PINCE-GOUGE AUTRE
79RZQ,TENACULUM OTHER (FORCEPS),PINCE TENACULUM AUTRE
79SGU,NEEDLE BONE MARROW,AIGUILLE A PONCTION DE MOELLE OSSEUSE
79WVC,TUNNELER SURGICAL,CANULE DE TUNNELLISATION
80ABO,SYRINGE DISPOSABLE WITH/WITHOUT NEEDLE,SERINGUE JETABLE AVEC/SANS AIGUILLE
80ACG,SOLUTIONS STERILE PATIENT CARE,SOLUTION STERILE POUR SOINS AUX PATIENTS
80ACL,STERILIZER OTHER,STERILISATEUR AUTRE
80ANP,UNIT ELECTROLYSIS HOME USE,APPAREIL D'ELECTROLYSE POUR USAGE A DOMICILE
80AOW,DEVICE ACUPRESSURE,DISPOSITIF D'ACUPRESSION
80ARG,TUBING CONNECTOR/ADAPTOR,CONNECTEUR/ADAPTATEUR POUR TUBAGE
80BYY,TUBE ASPIRATING FLEXIBLE CONNECTING,TUBE D'ASPIRATION SOUPLE POUR RACCORD
80CAJ,APPARATUS INFUSION POWERED FOR RADIOGRAPHIC DYEINJECTION,INFUSEUR ELECTRIQUE POUR INJECTION DE COLORANT RADIOGRAPHIQUE
80FRZ,POWERED PATIENT TRANSFER DEVICE,DISPOSITIF DE TRANSFERT DE PATIENT ELECTRIQUE
80IKY,NON-POWERED FLOTATION THERAPY MATTRESS,MATELAS DE FLOTTAISON THERAPEUTIQUE NON ELECTRIQUE
80KPE,CONTAINER I.V.,CONTENANT A SOLUTION INTRAVEINEUSE
